,,2014-05-07 12:26:22,2014-05-11 09:39:38,2014-07-26 16:50:56
cadence,00:00:01,78.0,100.0,60.0
cadence,00:00:02,64.0,89.0,58.0
cadence,00:00:03,62.666666666666664,68.33333333333333,56.333333333333336
cadence,00:00:04,62.5,59.5,59.25
cadence,00:00:05,64.4,63.2,61.0
cadence,00:00:06,64.5,66.5,62.333333333333336
cadence,00:00:07,64.57142857142857,69.28571428571429,63.57142857142857
cadence,00:00:08,64.625,71.875,63.75
cadence,00:00:09,64.22222222222223,67.88888888888889,63.44444444444444
cadence,00:00:10,62.0,76.8,63.0
cadence,00:00:11,61.90909090909091,73.0909090909091,62.36363636363637
cadence,00:00:12,62.083333333333336,75.33333333333333,61.916666666666664
cadence,00:00:13,61.84615384615385,70.76923076923077,62.07692307692308
cadence,00:00:14,64.92857142857143,73.14285714285714,62.642857142857146
cadence,00:00:15,60.46666666666667,75.4,63.4
cadence,00:00:16,65.4375,82.5625,62.625
cadence,00:00:17,66.0,78.6470588235294,61.8235294117647
cadence,00:00:18,65.88888888888889,79.66666666666667,61.109223300970875
cadence,00:00:19,65.84210526315789,80.47368421052632,60.46831885539091
cadence,00:00:20,65.55,81.25,59.88980582524273
cadence,00:00:21,66.0,81.95238095238095,59.36477115117892
cadence,00:00:22,66.13636363636364,82.72727272727273,58.88592233009709
cadence,00:00:23,66.3913043478261,83.3913043478261,58.44723512030393
cadence,00:00:24,66.625,84.0,58.04368932038835
cadence,00:00:25,66.96,84.56,57.67106796116505
cadence,00:00:26,67.3076923076923,85.15384615384616,57.32580283793877
cadence,00:00:27,67.66666666666667,85.74074074074075,57.004854368932044
cadence,00:00:28,67.96428571428571,86.21428571428571,56.705617198335645
cadence,00:00:29,68.10344827586206,86.6896551724138,56.4258453297623
cadence,00:00:30,68.23333333333333,87.13333333333334,68.5
cadence,00:00:31,68.58064516129032,87.51612903225806,68.70967741935483
cadence,00:00:32,68.6875,87.9375,68.90625
cadence,00:00:33,68.96969696969697,88.3030303030303,69.0909090909091
cadence,00:00:34,69.29411764705883,88.61764705882354,69.26470588235294
cadence,00:00:35,69.62857142857143,88.91428571428571,69.4
cadence,00:00:36,69.97222222222223,89.19444444444444,69.52777777777777
cadence,00:00:37,70.29729729729729,89.51351351351352,69.64864864864865
cadence,00:00:38,70.63157894736842,89.84210526315789,69.78947368421052
cadence,00:00:39,70.84615384615384,90.12820512820512,69.92307692307692
cadence,00:00:40,70.925,90.4,70.05
cadence,00:00:41,70.92682926829268,90.6829268292683,70.1951219512195
cadence,00:00:42,70.04761904761905,90.95238095238095,70.4047619047619
cadence,00:00:43,70.25581395348837,91.16279069767442,70.65116279069767
cadence,00:00:44,73.93181818181819,91.3409090909091,70.20454545454545
cadence,00:00:45,74.37777777777778,91.5111111111111,69.73333333333333
cadence,00:00:46,74.71739130434783,91.67391304347827,69.28186998733644
cadence,00:00:47,74.97872340425532,91.82978723404256,68.84889485643463
cadence,00:00:48,75.25,91.97916666666667,68.43325242718447
cadence,00:00:49,75.55102040816327,92.12244897959184,68.03388151377057
cadence,00:00:50,75.88,92.3,67.64980582524272
cadence,00:00:51,67.58823529411765,92.41176470588235,67.28012564249002
cadence,00:00:52,67.76923076923077,92.5576923076923,66.92401045556386
cadence,00:00:53,67.90566037735849,92.73584905660377,66.58069243451182
cadence,00:00:54,68.03703703703704,92.88888888888889,66.24946062567422
